City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Guerrero Negro,MX,27.98,-114.06,62.92,62,99,13.76,overcast clouds
271,Ostrovnoy,RU,68.05,39.51,20.39,94,100,18.9,overcast clouds
272,Faya,SA,18.39,42.45,57.2,47,0,3.36,clear sky
273,Acapulco,MX,16.86,-99.89,84.2,66,5,5.82,clear sky
274,Tenancingo,MX,19.15,-98.18,71.6,7,75,5.82,broken clouds
275,Mastic Beach,US,40.77,-72.85,48.0,100,86,1.99,overcast clouds
276,Oranjestad,AW,12.52,-70.03,84.2,62,20,12.75,few clouds
277,Talnakh,RU,69.49,88.4,-29.2,73,40,6.64,scattered clouds
278,Nishihara,JP,26.18,127.76,71.6,60,90,13.87,drizzle
279,Narasannapeta,IN,18.42,84.05,64.22,78,0,5.19,clear sky
280,Puerto Escondido,MX,15.85,-97.07,78.8,74,75,5.82,broken clouds
281,Korem,ET,12.51,39.52,47.79,67,0,3.27,clear sky
282,Muskegon,US,43.3,-86.13,30.99,63,90,11.41,overcast clouds
283,Kambove,CD,-10.88,26.6,62.42,100,100,4.7,light rain
284,Aleksandrovskoye,RU,44.71,43.0,32.0,93,90,15.66,overcast clouds
285,Dzerzhinskoye,RU,56.83,95.23,-30.89,83,0,4.72,clear sky
286,Glyadyanskoye,RU,54.91,65.09,9.75,96,100,2.3,light snow
287,Veraval,IN,20.9,70.37,62.33,30,0,13.02,clear sky
288,Te Anau,NZ,-45.42,167.72,56.28,54,68,1.79,broken clouds
289,Ilhabela,BR,-23.78,-45.36,77.13,80,100,4.79,moderate rain
290,Migori,KE,-1.06,34.47,63.03,83,0,2.86,clear sky
291,Itaueira,BR,-7.6,-43.03,83.26,56,59,5.73,broken clouds
292,Satka,RU,55.04,59.04,9.0,94,100,4.7,overcast clouds
293,Fort Nelson,CA,58.81,-122.7,-4.0,76,20,2.24,few clouds
294,Minas,UY,-34.38,-55.24,80.6,57,20,20.8,few clouds
295,Honningsvag,NO,70.98,25.97,30.2,74,75,35.57,broken clouds
296,Haines Junction,CA,60.75,-137.51,20.53,93,100,2.73,overcast clouds
297,Lamont,US,35.26,-118.91,55.99,47,75,3.65,light rain
298,Huarmey,PE,-10.07,-78.15,75.9,65,40,11.14,scattered clouds
299,Nizhniy Kuranakh,RU,58.84,125.49,-15.21,85,100,11.16,overcast clouds
300,Westport,US,41.14,-73.36,48.2,66,75,8.05,broken clouds
301,Toppenish,US,46.38,-120.31,35.01,100,90,1.39,overcast clouds
302,Torbay,CA,47.67,-52.73,30.0,79,20,3.36,few clouds
303,Chenghai,CN,23.46,116.77,62.6,82,96,2.66,overcast clouds
304,Laguna,US,38.42,-121.42,55.99,71,75,3.36,broken clouds
305,Boditi,ET,6.97,37.87,56.68,52,1,7.0,clear sky
306,Freeport,US,40.66,-73.58,50.0,61,20,12.75,few clouds
307,Mon,IN,26.75,95.1,51.98,83,63,2.66,broken clouds
308,Kyzyl-Suu,KG,42.34,78.01,20.68,70,0,10.67,clear sky
309,Libreville,GA,0.39,9.45,82.4,83,20,5.82,light rain
310,Pingliang,CN,35.54,106.69,20.97,73,100,16.75,overcast clouds
311,Calvinia,ZA,-31.47,19.78,62.55,41,0,4.0,clear sky
312,Moree,AU,-29.47,149.85,69.8,83,85,10.29,overcast clouds
313,Suntar,RU,62.14,117.63,-2.96,91,100,12.15,light snow
314,Batagay-Alyta,RU,67.8,130.41,-6.16,89,100,4.68,overcast clouds
315,Burnie,AU,-41.07,145.92,57.99,81,59,5.01,broken clouds
316,Samfya,ZM,-11.36,29.56,66.81,89,100,5.37,overcast clouds
317,Lorengau,PG,-2.02,147.27,82.11,63,100,1.9,overcast clouds
318,Mulege,MX,26.88,-111.98,75.96,27,0,7.31,clear sky
319,Sechura,PE,-5.56,-80.82,80.35,53,46,15.61,scattered clouds
320,Yining,CN,29.04,114.56,54.57,92,100,3.18,overcast clouds
321,Llandrindod Wells,GB,52.24,-3.38,33.01,98,92,3.49,overcast clouds
322,Staryy Nadym,RU,65.61,72.68,-11.02,90,100,17.85,light snow
323,Ukholovo,RU,53.79,40.49,6.84,95,12,8.3,few clouds
324,Namatanai,PG,-3.67,152.43,81.72,78,76,7.34,moderate rain
325,Kenai,US,60.55,-151.26,37.4,86,90,16.11,light rain
326,Chemax,MX,20.65,-87.93,76.68,57,46,6.4,scattered clouds
327,Shizunai,JP,42.33,142.37,24.19,88,50,10.18,scattered clouds
328,Inongo,CD,-1.95,18.27,74.71,78,99,4.72,overcast clouds
329,Sorland,NO,67.67,12.69,40.5,70,100,22.97,overcast clouds
330,Beringovskiy,RU,63.05,179.32,24.1,98,100,21.63,snow
331,Yulara,AU,-25.24,130.99,66.2,25,0,6.93,clear sky
332,Viedma,AR,-40.81,-63.0,93.54,25,100,18.88,overcast clouds
333,Edd,ER,13.93,41.69,77.45,46,0,17.16,clear sky
334,Rincon,US,32.3,-81.24,69.8,40,1,5.82,clear sky
335,Tsiroanomandidy,MG,-18.77,46.03,67.87,94,100,4.12,overcast clouds
336,Mae Sai,TH,20.43,99.88,59.0,100,0,1.12,clear sky
337,Sarangani,PH,5.4,125.46,82.35,79,100,8.41,moderate rain
338,Saint-Francois,FR,46.42,3.91,43.0,70,75,13.87,broken clouds
339,Kampong Thum,KH,12.71,104.89,78.21,70,100,4.41,overcast clouds
340,Bengkulu,ID,-3.8,102.27,75.16,89,100,8.08,overcast clouds
